Field,StrategyOrDate,MOMENTUM_WINDOW,Value
AggReturn,2018-07-05 00:00:00,63,-0.0062775143361668
AggReturn,2018-07-06 00:00:00,252,0.0007850340176716
AggReturn,2018-07-06 00:00:00,126,-0.0008723349374012
AggReturn,2018-07-06 00:00:00,63,-0.0034922406477004
AggReturn,2018-07-09 00:00:00,252,0.0086626673765392
AggReturn,2018-07-09 00:00:00,126,-0.0017337787653658
AggReturn,2018-07-09 00:00:00,63,0.000763667523029
AggReturn,2018-07-10 00:00:00,252,3.940402529423187e-05
AggReturn,2018-07-10 00:00:00,126,-0.0007256629162432
AggReturn,2018-07-10 00:00:00,63,0.0021246749912484
AggReturn,2018-07-11 00:00:00,252,-0.0073120865423255
AggReturn,2018-07-11 00:00:00,126,0.0005963214702302
AggReturn,2018-07-11 00:00:00,63,-0.0026316975156068
AggReturn,2018-07-12 00:00:00,252,0.0074554833655371
AggReturn,2018-07-12 00:00:00,126,-0.0009999652136409
AggReturn,2018-07-12 00:00:00,63,-0.0019086468020843
AggReturn,2018-07-13 00:00:00,252,0.0062845305144028
AggReturn,2018-07-13 00:00:00,126,0.0091945949406608
AggReturn,2018-07-13 00:00:00,63,0.0076508285625435
AggReturn,2018-07-16 00:00:00,252,0.0009571978688725
AggReturn,2018-07-16 00:00:00,126,0.0019364943124455
AggReturn,2018-07-16 00:00:00,63,0.0007203908318812
AggReturn,2018-07-17 00:00:00,252,-0.0061022644240362
AggReturn,2018-07-17 00:00:00,126,-0.0051208165057408
AggReturn,2018-07-17 00:00:00,63,-0.0057438166921593
AggReturn,2018-07-18 00:00:00,252,0.0065103049167415
AggReturn,2018-07-18 00:00:00,126,0.0024315631128774
AggReturn,2018-07-18 00:00:00,63,-0.0014379349291862
AggReturn,2018-07-19 00:00:00,252,-0.0103097233540131
AggReturn,2018-07-19 00:00:00,126,0.0051825152526455
AggReturn,2018-07-19 00:00:00,63,0.0069200575074585
AggReturn,2018-07-20 00:00:00,252,-0.0046468044361084
AggReturn,2018-07-20 00:00:00,126,0.0261003759218216
AggReturn,2018-07-20 00:00:00,63,0.0231668783738705
AggReturn,2018-07-23 00:00:00,252,-0.007456638557138
AggReturn,2018-07-23 00:00:00,126,-0.0020795761524592
AggReturn,2018-07-23 00:00:00,63,-0.0014550362662177
AggReturn,2018-07-24 00:00:00,252,0.0100835937544364
AggReturn,2018-07-24 00:00:00,126,-0.0020715950045761
AggReturn,2018-07-24 00:00:00,63,-0.00470169305293
AggReturn,2018-07-25 00:00:00,252,-0.0069347261194806
AggReturn,2018-07-25 00:00:00,126,-0.0049669521267288
AggReturn,2018-07-25 00:00:00,63,0.0028699063132487
AggReturn,2018-07-26 00:00:00,252,0.0053859303069516
AggReturn,2018-07-26 00:00:00,126,0.0006353935816804
AggReturn,2018-07-26 00:00:00,63,0.0038204663455819
AggReturn,2018-07-27 00:00:00,252,0.0056900886856343
AggReturn,2018-07-27 00:00:00,126,0.0044412972264526
AggReturn,2018-07-27 00:00:00,63,-0.0058388637996433
AggReturn,2018-07-30 00:00:00,252,-0.0098374974125701
AggReturn,2018-07-30 00:00:00,126,-0.013881735696126
AggReturn,2018-07-30 00:00:00,63,-0.0060427989138701
AggReturn,2018-07-31 00:00:00,252,-0.0048056456648908
AggReturn,2018-07-31 00:00:00,126,0.0005729820529813
AggReturn,2018-07-31 00:00:00,63,-0.0023994420075027
AggReturn,2018-08-01 00:00:00,252,0.0096543119362438
AggReturn,2018-08-01 00:00:00,126,0.0071121039162521
AggReturn,2018-08-01 00:00:00,63,0.0047275842595548
AggReturn,2018-08-02 00:00:00,252,-0.0076106759200242
